artist,album,catalogueNo,played,location,needNewCase,sleeveRating,sleeveNotes,mediaRating,mediaNotes,purchasedByMe,purchaseDate
DADDY COOL,TEENAGE HEAVEN,,,,,,,,,,
DAVE CLARK 5,SATISFIED WITH YOU,,TRUE,shelf,,GENERIC,"replaced jacket, original sleeve",VG,"noisy, needs cleaning but doesn't skip",,
DAVE LOGGINS,APPRENTICE (IN A MUSICAL WORKSHOP),,,,,,,,,,
DAVID BOWIE,LET'S DANCE,,TRUE,,,,,,,,
DAVID BYRON,TAKE NO PRISONERS,,,,,,,,,,
DAVID FRIZZELL,ON MY OWN AGAIN,,,,,,,,,,
DAVID GATES,NEVER LET HER GO,,,,,,,,,,
DAVID WHITFIELD,"CARA, MIA",,,,,,,,,,
DEAN & DON'S,MULTI-MILLION DOLLAR COMEDY LIQUIDATION,,,TUB,,,,,,,
DEAN MARTIN,GREATEST HITS VOL. I,,,,,,,,,,
DEAN MARTIN,HITS AGAIN,,,,,,,,,,
DEEP PURPLE,BURN,,,,,,,,,,
DEEP PURPLE,WHO DO WE THINK WE ARE,,,,,,,,,,
DEEP PURPLE,IN ROCK,,,,,,,,,,
DEEP PURPLE,THE BEST OF,,,,,,,,,,
DEF LEPPARD,PYROMANIA,,,,,,,,,,
DELANEY & BONNIE,TO BONNIE FROM DELANEY,,,,,,,,,,
DELANEY & BONNIE,ON TOUR WITH ERIC CLAPTON,,,,,,,,,,
DENNIS YOST AND THE CLASSICS IV,GOLDEN GREATS VOLUME ONE,,,,,,NO COVER,,,,
DEREK & THE DOMINOS,LAYLA AND OTHER ASSORTED LOVE SONGS,,,,,,,,,,
DEREK & THE DOMINOS,LAYLA AND OTHER SONGS,,,,,,,,,,
DIONNE WARWICK,ALFIE,,,,,,,,,,
DIRE STRAITS,COMMUNIQUE,,TRUE,,,,,,,,
DON HENLEY,BUILDING THE PERFECT BEAST,,,,,,,,,,
DON WILLIAMS,I BELIEVE IN YOU,,,TUB,,,,,,,
